index,timestamp,x,y,z,Qx,Qy,Qz,Qw
232,1722943229.134405,-4.403492,6.816665,0.068285,0.044559,-0.005781,0.998680,-0.024872
233,1722943229.400957,-4.529012,6.786283,0.067353,0.030716,-0.019329,0.998641,-0.037396
234,1722943229.668009,-4.577070,6.765231,0.042668,-0.001900,-0.020879,0.998112,-0.057726
235,1722943230.068651,-4.646115,6.757282,0.247097,-0.019667,0.015867,0.997657,-0.063580
236,1722943230.335663,-4.661690,6.745507,0.384330,0.034405,0.022065,0.997194,-0.062719
237,1722943230.736630,-4.647486,6.748907,0.187917,0.033148,0.008611,0.997775,-0.057199
238,1722943231.003730,-4.638536,6.758978,0.027935,-0.024037,-0.005450,0.997931,-0.059387
239,1722943231.270817,-4.636200,6.769645,0.034503,-0.002715,0.007869,0.993661,-0.112108
240,1722943231.537860,-4.640414,6.730671,0.040987,0.011326,0.010803,0.966606,-0.255789
241,1722943231.806859,-4.666086,6.672899,0.046034,0.020639,-0.010595,0.912496,-0.408426
242,1722943232.072000,-4.653902,6.604727,0.053506,-0.020323,0.010816,-0.816832,0.576417
243,1722943232.338983,-4.587266,6.548387,0.059087,-0.030870,0.002603,-0.704974,0.708557
244,1722943232.606111,-4.478860,6.522497,0.075745,-0.034581,-0.001597,-0.590511,0.806287
245,1722943232.873239,-4.349461,6.522337,0.080857,-0.030150,-0.004409,-0.498434,0.866392
246,1722943233.140240,-4.175220,6.544376,0.079791,-0.024036,-0.006388,-0.412451,0.910640
247,1722943233.407376,-3.945778,6.582694,0.073179,-0.015699,-0.018764,-0.328920,0.944041
248,1722943233.809974,-3.695992,6.626832,0.045269,0.008829,-0.022327,-0.296230,0.954815
249,1722943234.074891,-3.562647,6.595921,0.008875,0.031849,-0.027482,-0.338318,0.940091
250,1722943234.342013,-3.458738,6.516646,-0.000034,0.033225,-0.049531,-0.418934,0.906056
251,1722943234.608992,-3.362580,6.435480,0.019534,0.030822,-0.045988,-0.482797,0.873981
252,1722943234.875499,-3.282720,6.333130,0.009216,0.026106,-0.034521,-0.542469,0.838960
253,1722943235.142686,-3.186850,6.189043,0.009287,-0.005906,-0.058576,-0.596009,0.800817
254,1722943235.409634,-3.119489,6.039492,0.018782,-0.003647,-0.053138,-0.634567,0.771030
255,1722943235.676767,-3.068937,5.882093,-0.002097,-0.010574,-0.056498,-0.658659,0.750243
256,1722943235.943863,-3.047807,5.698311,-0.005308,-0.019295,-0.067385,-0.696623,0.714005
257,1722943236.210797,-3.033025,5.529504,-0.004625,-0.019710,-0.063263,-0.759668,0.646926
258,1722943236.478331,-3.030637,5.378848,-0.026624,-0.027815,-0.058131,-0.834495,0.547234
259,1722943236.745585,-3.037804,5.261298,-0.030490,0.012478,0.044814,0.884515,-0.464187
260,1722943237.012017,-3.043916,5.153729,-0.032614,0.015302,0.029459,0.887962,-0.458718
261,1722943237.279108,-3.063783,5.050792,-0.037723,-0.029968,-0.010298,-0.833572,0.551500
262,1722943237.546402,-3.067255,4.971075,-0.027854,-0.048863,0.006357,-0.727860,0.683953
263,1722943237.813195,-3.018378,4.925761,-0.033369,-0.025796,-0.006583,-0.650069,0.759409
